City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,15.52,94,0,0.0,US,1697424584
1,hwange,-18.3693,26.5019,25.01,61,96,0.59,ZW,1697424501
2,chonchi,-42.6128,-73.8092,6.18,98,70,1.2,CL,1697424584
3,gadzhiyevo,69.2551,33.3362,4.91,89,98,11.9,RU,1697424585
4,sitangkai,4.6628,119.3928,28.55,68,94,1.17,PH,1697424585
5,melekeok village,7.4957,134.6367,30.31,74,75,3.6,PW,1697424585
6,vanino,49.0869,140.2543,4.4,90,100,4.84,RU,1697424585
7,waitangi,-43.9535,-176.5597,13.79,70,39,1.79,NZ,1697424585
8,soritor,-6.1392,-77.1039,18.59,94,96,1.14,PE,1697424585
9,stanley,54.868,-1.6985,3.76,92,0,1.54,GB,1697424585
10,praia da vitoria,38.7333,-27.0667,21.14,94,75,13.71,PT,1697424586
11,svetlyy,54.675,20.1347,9.98,66,92,4.67,RU,1697424586
12,port-aux-francais,-49.35,70.2167,2.08,80,100,7.42,TF,1697424586
13,terme,41.2092,36.9739,15.96,80,100,1.49,TR,1697424586
14,pacific grove,36.6177,-121.9166,18.01,89,20,0.0,US,1697424404
15,saipan,15.1355,145.701,29.39,79,40,4.12,MP,1697424586
16,margaret river,-33.95,115.0667,24.58,38,90,6.6,AU,1697424586
17,yellowknife,62.456,-114.3525,8.56,98,75,2.57,CA,1697424587
18,nova sintra,14.8667,-24.7167,24.76,70,97,6.67,CV,1697424587
19,inirida,3.8653,-67.9239,22.3,97,100,1.0,CO,1697424587
20,goundam,16.4145,-3.6708,29.63,15,100,3.47,ML,1697424587
21,mabaruma,8.2,-59.7833,24.53,96,3,1.39,GY,1697424587
22,puerto natales,-51.7236,-72.4875,5.2,81,91,4.6,CL,1697424587
23,whitehorse,60.7161,-135.0538,7.43,76,20,5.66,CA,1697424588
24,shengli,37.4564,118.4856,20.62,28,0,3.27,CN,1697424588
25,bethel,41.3712,-73.414,9.31,82,0,0.0,US,1697424341
26,san antonio de pale,-1.4014,5.6325,25.86,83,100,6.67,GQ,1697424588
27,port alfred,-33.5906,26.891,17.32,92,100,3.13,ZA,1697424588
28,isangel,-19.55,169.2667,27.06,69,21,6.69,VU,1697424588
29,adamstown,-25.066,-130.1015,21.83,81,64,2.21,PN,1697424588
30,dobryanka,58.4619,56.4165,11.09,92,100,4.99,RU,1697424588
31,alesund,62.4723,6.1549,7.64,61,100,4.63,NO,1697424589
